City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,East London,ZA,2022-02-05 19:39:03,-33.0153,27.9116,69.73,86,100,17.87,light rain
169,Sovetskiy,RU,2022-02-05 19:39:04,61.3614,63.5842,15.57,94,99,7.34,overcast clouds
170,Saldanha,ZA,2022-02-05 19:39:04,-33.0117,17.9442,78.85,75,9,6.15,clear sky
171,Umm Kaddadah,SD,2022-02-05 19:39:05,13.6017,26.6876,60.1,18,95,17.27,overcast clouds
172,Tezu,IN,2022-02-05 19:39:05,27.9167,96.1667,54.16,96,100,1.95,overcast clouds
173,Ippy,CF,2022-02-05 19:39:06,6.2679,21.2247,78.69,20,100,4.79,overcast clouds
174,Barra Do Garcas,BR,2022-02-05 19:39:06,-15.89,-52.2567,91.98,62,40,3.8,scattered clouds
175,Bambous Virieux,MU,2022-02-05 19:36:45,-20.3428,57.7575,80.22,89,75,21.85,light rain
176,Moose Factory,CA,2022-02-05 19:39:06,51.2585,-80.6094,1.4,46,0,8.05,clear sky
177,Tual,ID,2022-02-05 19:39:07,-5.6667,132.75,83.14,75,100,9.55,overcast clouds
178,Pontes E Lacerda,BR,2022-02-05 19:39:07,-15.2261,-59.3353,85.21,71,93,3.15,overcast clouds
179,Kralendijk,BQ,2022-02-05 19:39:08,12.15,-68.2667,76.98,78,40,4.61,light intensity drizzle
180,Cockburn Town,TC,2022-02-05 19:36:38,21.4612,-71.1419,80.56,54,40,11.5,scattered clouds
181,Nova Lima,BR,2022-02-05 19:39:08,-19.9856,-43.8467,80.94,73,75,6.91,moderate rain
182,Nagapattinam,IN,2022-02-05 19:39:09,10.7667,79.8333,76.51,78,53,11.07,broken clouds
183,Aberdeen,GB,2022-02-05 19:39:09,57.1437,-2.0981,39.69,70,78,9.22,broken clouds
184,Boende,CD,2022-02-05 19:39:10,-0.2167,20.8667,78.28,56,31,2.26,scattered clouds
185,Los Llanos De Aridane,ES,2022-02-05 19:39:10,28.6585,-17.9182,64.15,87,0,12.66,clear sky
186,Port Elizabeth,ZA,2022-02-05 19:39:10,-33.918,25.5701,70.11,83,20,16.11,few clouds
187,Alekseyevsk,RU,2022-02-05 19:39:11,57.8406,108.3492,17.4,94,100,9.8,light snow
188,Forest,US,2022-02-05 19:39:11,37.3638,-79.2897,37.99,37,0,1.99,clear sky
189,Luderitz,NA,2022-02-05 19:39:12,-26.6481,15.1594,68.09,78,97,3.49,overcast clouds
190,Bismarck,US,2022-02-05 19:36:11,46.8083,-100.7837,44.87,77,75,11.5,broken clouds
191,Port Augusta,AU,2022-02-05 19:39:12,-32.5,137.7667,72.72,29,48,16.4,scattered clouds
192,Benguela,AO,2022-02-05 19:39:13,-12.5763,13.4055,76.62,70,100,4.7,overcast clouds
193,Noumea,NC,2022-02-05 19:34:53,-22.2763,166.4572,76.98,86,17,7.63,light rain
194,San Juan Del Sur,NI,2022-02-05 19:39:13,11.2529,-85.8705,84.42,65,75,6.91,broken clouds
195,Teguise,ES,2022-02-05 19:39:13,29.0605,-13.564,64.62,49,0,13.8,clear sky
196,Dunedin,NZ,2022-02-05 19:37:49,-45.8742,170.5036,56.8,72,46,1.01,scattered clouds
197,Monrovia,LR,2022-02-05 19:39:14,6.3005,-10.7969,82.17,83,9,9.48,clear sky
198,Hovd,MN,2022-02-05 19:39:14,48.0056,91.6419,-13.09,81,17,3.02,few clouds
199,Srednekolymsk,RU,2022-02-05 19:39:15,67.45,153.6833,-39.78,99,38,3.67,scattered clouds
200,Ostrovnoy,RU,2022-02-05 19:39:15,68.0531,39.5131,16.38,82,100,31.56,overcast clouds
201,Broken Hill,AU,2022-02-05 19:39:16,-31.95,141.4333,67.71,45,75,14.97,broken clouds
202,Hilo,US,2022-02-05 19:38:58,19.7297,-155.09,77.11,75,0,0.0,clear sky
203,Radstadt,AT,2022-02-05 19:39:16,47.3833,13.45,30.02,94,22,4.47,few clouds
204,Marsabit,KE,2022-02-05 19:39:17,2.3284,37.9899,73.17,32,100,7.31,overcast clouds
205,Bontang,ID,2022-02-05 19:39:17,0.1333,117.5,76.95,89,100,8.66,overcast clouds
206,Caborca,MX,2022-02-05 19:39:18,30.5838,-111.101,64.69,14,0,2.53,clear sky
207,Mikhaylovka,RU,2022-02-05 19:39:18,50.06,43.2379,7.25,96,16,8.12,few clouds
208,Kaitangata,NZ,2022-02-05 19:39:15,-46.2817,169.8464,48.83,82,90,5.5,overcast clouds
209,Tymovskoye,RU,2022-02-05 19:39:19,50.8456,142.655,5.2,95,100,7.9,light snow
210,Saint-Francois,FR,2022-02-05 19:39:20,46.4154,3.9054,35.67,91,0,2.3,clear sky
211,Mana,GF,2022-02-05 19:39:20,5.6592,-53.7767,80.02,79,32,10.56,moderate rain
212,Ostrovskoye,RU,2022-02-05 19:39:21,57.8057,42.2433,2.1,100,96,2.01,overcast clouds
213,Kismayo,SO,2022-02-05 19:39:21,-0.3582,42.5454,78.17,80,71,10.92,broken clouds
214,Harper,LR,2022-02-05 19:39:21,4.375,-7.7169,80.29,81,21,10.31,few clouds
215,Ternate,ID,2022-02-05 19:39:22,0.8,127.4,79.9,82,100,8.77,overcast clouds
216,Altagracia De Orituco,VE,2022-02-05 19:39:22,9.8601,-66.3814,85.84,44,50,8.99,scattered clouds
217,Zemio,CF,2022-02-05 19:39:23,5.0314,25.1361,76.59,23,100,3.6,overcast clouds
218,Sabang,ID,2022-02-05 19:39:23,5.8933,95.3214,81.27,74,94,11.03,overcast clouds
219,Nanortalik,GL,2022-02-05 19:39:23,60.1432,-45.2371,10.83,61,52,18.21,broken clouds
220,Cayenne,GF,2022-02-05 19:39:23,4.9333,-52.3333,84.24,81,75,5.01,broken clouds
221,Muros,ES,2022-02-05 19:39:24,42.7762,-9.0603,50.5,75,0,14.14,clear sky
222,Sioux Lookout,CA,2022-02-05 19:39:25,50.1001,-91.917,7.18,72,100,10.36,overcast clouds
223,Saint-Prosper,CA,2022-02-05 19:39:25,46.2117,-70.4811,9.75,84,94,13.04,overcast clouds
224,Grand Gaube,MU,2022-02-05 19:39:25,-20.0064,57.6608,80.38,77,100,8.01,overcast clouds
225,Imperatriz,BR,2022-02-05 19:39:26,-5.5264,-47.4917,87.85,66,75,0.0,broken clouds
226,Barabai,ID,2022-02-05 19:39:26,-2.5833,115.3833,74.52,96,99,1.1,overcast clouds
227,Nemuro,JP,2022-02-05 19:39:27,43.3236,145.575,23.18,73,99,17.72,overcast clouds
228,Mount Gambier,AU,2022-02-05 19:39:27,-37.8333,140.7667,58.91,82,75,6.91,broken clouds
229,Amuntai,ID,2022-02-05 19:39:27,-2.4177,115.2494,74.12,98,98,1.41,overcast clouds
230,Ancud,CL,2022-02-05 19:39:28,-41.8697,-73.8203,74.23,60,17,6.67,few clouds
231,Saint-Augustin,CA,2022-02-05 19:39:28,51.226,-58.6502,4.78,94,100,17.16,light snow
232,Vostok,RU,2022-02-05 19:39:29,46.4856,135.8833,-11.38,99,100,3.29,overcast clouds
233,Aklavik,CA,2022-02-05 19:39:29,68.2191,-135.0107,-31.97,66,40,3.44,scattered clouds
234,Oussouye,SN,2022-02-05 19:39:30,12.485,-16.5469,87.98,48,3,7.43,clear sky
235,Coahuayana,MX,2022-02-05 19:39:30,18.7333,-103.6833,89.08,41,26,6.98,scattered clouds
