City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,Tawang,27.5833,91.8667,38.71,48,1,4.18,IN,2022-02-02 03:42:31
173,Abha,18.2164,42.5053,49.82,71,0,0.0,SA,2022-02-02 03:42:32
174,Coihaique,-45.5752,-72.0662,58.95,51,0,9.22,CL,2022-02-02 03:42:32
175,Beringovskiy,63.05,179.3167,0.75,85,95,17.4,RU,2022-02-02 03:42:32
176,Pecos,31.4229,-103.4932,58.3,21,0,0.0,US,2022-02-02 03:42:33
177,Southampton,50.904,-1.4043,50.34,92,100,5.99,GB,2022-02-02 03:41:14
178,Kruisfontein,-34.0033,24.7314,70.88,71,100,2.64,ZA,2022-02-02 03:42:33
179,Dingle,10.9995,122.6711,84.72,64,100,12.84,PH,2022-02-02 03:38:11
180,Espanola,35.9911,-106.0806,43.23,59,100,5.23,US,2022-02-02 03:42:34
181,Pokhara,28.2333,83.9833,57.27,49,6,4.74,NP,2022-02-02 03:39:02
182,Vila Franca Do Campo,37.7167,-25.4333,56.19,80,90,10.18,PT,2022-02-02 03:42:34
183,Nouadhibou,20.931,-17.0347,71.06,48,97,14.27,MR,2022-02-02 03:43:35
184,Atambua,-9.1061,124.8925,81.73,66,63,8.5,ID,2022-02-02 03:43:35
185,Severo-Yeniseyskiy,60.3725,93.0408,5.27,95,88,4.36,RU,2022-02-02 03:43:35
186,Tezu,27.9167,96.1667,65.75,51,96,2.24,IN,2022-02-02 03:43:36
187,Nikolskoye,59.7035,30.7861,24.69,98,99,2.26,RU,2022-02-02 03:43:36
188,Itambacuri,-18.0311,-41.685,71.83,94,98,2.24,BR,2022-02-02 03:43:37
189,Ulladulla,-35.35,150.4667,68.88,77,100,7.27,AU,2022-02-02 03:43:37
190,Cayenne,4.9333,-52.3333,75.09,92,100,1.14,GF,2022-02-02 03:43:37
191,Tomatlan,19.9333,-105.25,62.47,78,0,3.04,MX,2022-02-02 03:43:38
192,Tiksi,71.6872,128.8694,-8.34,96,100,7.72,RU,2022-02-02 03:43:38
193,Abnub,27.2696,31.1511,44.82,50,82,3.62,EG,2022-02-02 03:43:38
194,Kodiak,57.79,-152.4072,38.71,87,100,5.75,US,2022-02-02 03:43:33
195,Lerwick,60.1545,-1.1494,41.0,66,95,18.16,GB,2022-02-02 03:43:39
196,Hohhot,40.8106,111.6522,12.49,44,0,4.47,CN,2022-02-02 03:43:39
197,Mecca,21.4267,39.8261,66.97,40,0,0.94,SA,2022-02-02 03:40:14
198,Muriwai Beach,-36.8167,174.45,77.43,58,99,13.89,NZ,2022-02-02 03:42:40
199,Razole,16.4833,81.8333,73.69,58,36,2.59,IN,2022-02-02 03:43:40
200,Guerrero Negro,27.9769,-114.0611,59.97,75,94,9.95,MX,2022-02-02 03:43:40
201,Bima,-8.4667,118.7167,88.47,64,27,5.03,ID,2022-02-02 03:43:41
202,Manjacaze,-24.7117,33.8828,71.28,90,0,2.84,MZ,2022-02-02 03:43:41
203,Duliagaon,27.3667,95.3167,58.87,65,65,4.09,IN,2022-02-02 03:43:41
204,Quatre Cocos,-20.2078,57.7625,81.09,88,100,30.47,MU,2022-02-02 03:43:42
205,Vostok,46.4856,135.8833,6.33,83,100,7.74,RU,2022-02-02 03:43:42
206,Isangel,-19.55,169.2667,86.11,79,75,3.44,VU,2022-02-02 03:43:42
207,Luangwa,-15.6167,30.4167,69.55,98,2,1.86,ZM,2022-02-02 03:43:43
208,Shelburne,44.0787,-80.2041,37.8,75,100,19.66,CA,2022-02-02 03:43:43
209,Vathi,38.4,23.6,57.29,93,75,0.0,GR,2022-02-02 03:43:43
210,Camacha,33.0833,-16.3333,62.53,72,20,18.41,PT,2022-02-02 03:43:44
211,Bathsheba,13.2167,-59.5167,77.61,78,40,13.8,BB,2022-02-02 03:43:44
212,Beboto,8.2668,16.939,63.34,22,7,5.14,TD,2022-02-02 03:43:44
213,Haines Junction,60.7522,-137.5108,-14.85,70,100,0.0,CA,2022-02-02 03:43:45
214,Acarau,-2.8856,-40.12,77.14,86,93,10.09,BR,2022-02-02 03:43:45
215,Micheweni,-4.9667,39.8333,79.03,79,94,4.16,TZ,2022-02-02 03:43:45
216,Lagoa,39.05,-27.9833,58.86,71,10,14.94,PT,2022-02-02 03:43:46
217,Rantepao,-2.9701,119.8978,83.41,57,100,2.33,ID,2022-02-02 03:43:46
218,Port Hardy,50.6996,-127.4199,39.76,93,75,4.61,CA,2022-02-02 03:43:47
219,Belmonte,-15.8631,-38.8828,79.3,84,6,5.97,BR,2022-02-02 03:43:47
220,Djibo,14.1022,-1.6306,64.47,9,96,9.6,BF,2022-02-02 03:43:47
221,Mirpur Mathelo,28.0227,69.5489,69.73,21,0,3.42,PK,2022-02-02 03:43:48
222,Voznesenye,61.0106,35.4781,14.65,96,100,2.01,RU,2022-02-02 03:43:48
223,Halifax,44.6453,-63.5724,12.2,79,32,8.05,CA,2022-02-02 03:43:13
224,San Quintin,30.4833,-115.95,58.66,67,66,8.75,MX,2022-02-02 03:43:48
225,Wittmund,53.5667,7.7833,44.04,70,100,20.71,DE,2022-02-02 03:43:49
226,Mersing,2.4312,103.8405,85.91,70,40,5.75,MY,2022-02-02 03:43:49
227,Henties Bay,-22.116,14.2845,65.86,85,60,1.74,NA,2022-02-02 03:43:49
228,Pacific Grove,36.6177,-121.9166,54.66,66,0,1.01,US,2022-02-02 03:43:49
229,Iranshahr,27.2025,60.6848,57.54,58,0,6.91,IR,2022-02-02 03:44:50
230,Pathein,16.7833,94.7333,81.21,33,70,7.85,MM,2022-02-02 03:44:51
231,Sretensk,52.2453,117.7093,-7.94,86,63,3.06,RU,2022-02-02 03:44:51
232,Erzurum,40.0,41.5,11.91,90,73,4.52,TR,2022-02-02 03:44:52
233,Laukaa,58.7372,29.8453,11.93,98,100,3.62,RU,2022-02-02 03:44:52
234,Makakilo City,21.3469,-158.0858,80.92,56,0,9.22,US,2022-02-02 03:43:22
235,Yoichi,43.2039,140.7703,35.22,82,100,13.13,JP,2022-02-02 03:44:52
236,Dubai,25.2582,55.3047,70.21,77,20,4.61,AE,2022-02-02 03:42:15
237,Bairiki,1.3292,172.9752,86.0,74,40,3.44,KI,2022-02-02 03:44:53
238,Xining,36.6167,101.7667,17.76,55,27,1.88,CN,2022-02-02 03:44:53
239,Pangani,-5.4333,38.9667,74.97,89,100,7.65,TZ,2022-02-02 03:44:54
240,Ayan,56.45,138.1667,1.33,63,33,12.77,RU,2022-02-02 03:44:54
241,Wagar,16.1525,36.2032,63.91,69,4,6.26,SD,2022-02-02 03:44:54
242,Genhe,50.7833,121.5167,3.96,66,95,4.97,CN,2022-02-02 03:44:55
243,Hobyo,5.3505,48.5268,77.94,76,98,18.66,SO,2022-02-02 03:44:55
244,Leningradskiy,69.3833,178.4167,-12.05,95,37,10.42,RU,2022-02-02 03:44:56
245,Kloulklubed,7.0419,134.2556,82.9,77,100,20.04,PW,2022-02-02 03:44:56
246,Cabo San Lucas,22.8909,-109.9124,69.51,60,0,8.01,MX,2022-02-02 03:41:33
247,Pavlovskiy,57.8424,54.8436,30.02,94,100,11.83,RU,2022-02-02 03:44:57
248,Diego De Almagro,-26.3667,-70.05,62.28,53,0,0.51,CL,2022-02-02 03:44:57
249,Hope,33.6671,-93.5916,60.85,94,100,6.67,US,2022-02-02 03:42:38
250,Rawson,-43.3002,-65.1023,74.59,32,19,11.81,AR,2022-02-02 03:44:57
251,Taltal,-25.4,-70.4833,65.86,80,0,1.88,CL,2022-02-02 03:44:58
252,Norman Wells,65.282,-126.8329,-29.16,68,20,3.44,CA,2022-02-02 03:44:58
253,Yuryevets,57.3201,43.1041,21.34,92,100,12.21,RU,2022-02-02 03:44:59
254,Saint-Philippe,-21.3585,55.7679,81.95,94,100,24.09,RE,2022-02-02 03:44:59
255,Vysokogornyy,50.1167,139.15,3.45,85,99,6.73,RU,2022-02-02 03:44:59
256,Paciran,-6.8767,112.3761,85.64,66,30,6.11,ID,2022-02-02 03:45:00
257,Ribeira Grande,38.5167,-28.7,59.5,74,41,11.9,PT,2022-02-02 03:45:00
258,Leh,34.1667,77.5833,2.43,73,96,1.81,IN,2022-02-02 03:45:00
